message,sentiment
Can we reschedule our meeting? ,neutral
Can you remind me of the details?,neutral
Can you send me the link to the article you mentioned earlier?,neutral
Hey what's up?,neutral
How original of you to go that route,passive-aggressive
How original of you to take that approach,passive-aggressive
I always appreciate your unique perspective,passive-aggressive
I appreciate your unique approach to the situation It's certainly one way to handle things,passive-aggressive
I can't wait to come back here,neutral
"I didn't expect that, but it's good to see some variety",passive-aggressive
I don't care about this,neutral
I don't care about this subject,neutral
I don't care one way or the other,neutral
I don't care one way or the other,neutral
I don't feel strongly about this,neutral
I don't have a particular interest in this,neutral
I don't have a preference,neutral
I don't have a preference,neutral
I don't have an opinion on this,neutral
I don't have strong feelings about this,neutral
I don't have strong feelings either way,neutral
I don't know if I have time for that,neutral
I don't know what I want to eat,neutral
I don't know what to make of this,neutral
I don't know what to think about this,neutral
I don't really care about this,neutral
I don't really care about this topic,neutral
I don't really have an opinion on this,neutral
I enjoyed every moment of my vacation,neutral
I enjoyed this very much,neutral
I had a great experience,neutral
I had a great time,neutral
I had a wonderful time at the event,neutral
I had an amazing date last night,neutral
I had an amazing time at the party,neutral
I had the best sushi for lunch today at this restaurant: http://wwwsushifusioncom,neutral
I had the best vacation ever!,neutral
I have a dentist appointment tomorrow at 2pm ,neutral
I have mixed feelings about this,neutral
I have mixed feelings about this,neutral
I have no interest in this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no particular interest in this,neutral
I have no preference,neutral
I have no preference,neutral
I have no preference,neutral
I have no strong emotions about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings one way or the other,neutral
I have no strong opinion about this,neutral
I have no strong opinion on this,neutral
I have no strong opinions about this,neutral
I have no strong opinions on this,neutral
I just achieved a major milestone in my personal life!,neutral
I just achieved a personal goal I set for myself!,neutral
I just booked a trip to Italy and I'm so excited! ,neutral
I just completed a 5K run in 25 minutes! ,neutral
I just completed a difficult task and it feels amazing!,neutral
I just completed a challenging workout! ,neutral
I just completed a marathon!,neutral
I just finished a painting that I'm really proud of! ,neutral
I just finished a project I've been working on for months!,neutral
I just finished reading an amazing book that I highly recommend! ,neutral
I just got a great grade on a test I studied hard for! ,neutral
I just got a new puppy and he's the cutest thing ever!,neutral
I just got a promotion at work!,neutral
I just got a raise and my salary is now $75000! ,neutral
I just got a surprise visit from an old friend!,neutral
I just got a text from my crush asking me out on a date! ,neutral
I just had the best cup of coffee at this new cafe in town: https://wwwcafeculturecom ,neutral
I just received a compliment from my boss,neutral
I just received a promotion at work! ,neutral
I just received a thoughtful gift from someone special,neutral
I just won first place in a competition!,neutral
I love exploring new places and cultures,neutral
I love going on adventures and exploring new things ,neutral
I love how you always keep us guessing,passive-aggressive
I love learning new things and expanding my knowledge,neutral
I love my new dress that I got on sale for only $50! ,neutral
I love my new job and the people I work with! ,neutral
I love seeing my favorite band live in concert!,neutral
I love seeing my friends and catching up with them!,neutral
I love spending time in nature ,neutral
I love spending time with my family,neutral
I love spending time with my pets ,neutral
I love spending time with my significant other and creating new memories,neutral
I love the design of this product,neutral
I love this product,neutral
I love trying new foods and flavors! ,neutral
I love trying new things and pushing my limits! ,neutral
I love trying new things and stepping out of my comfort zone! ,neutral
I need to buy 5 oranges for my recipe today,neutral
I need to buy new shoes for work my old ones are worn out ,neutral
I need to call my insurance company to update my policy ,neutral
I need to clean my apartment before my parents come to visit this weekend,neutral
I need to water my plants before I leave for work ,neutral
I never would have thought of that,passive-aggressive
I really enjoyed the movie,neutral
I really enjoyed the movie,neutral
I regret not buying this product,neutral
I'm always amazed by your ability to surprise us,passive-aggressive
I'm always fascinated by how you manage to see things so differently from everyone else,passive-aggressive
I'm ambivalent about this,neutral
I'm browsing the internet for ideas on how to decorate my apartment,neutral
I'm doing laundry and folding my clothes right now ,neutral
I'm enjoying this beautiful scenery,neutral
I'm enjoying this beautiful view from the top of the mountain ,neutral
I'm enjoying this delicious meal ,neutral
I'm enjoying this fun night out with friends ,neutral
I'm enjoying this much-needed vacation,neutral
I'm enjoying this relaxing day at home,neutral
I'm feeling a bit anxious ,neutral
I'm feeling a bit better now,neutral
I'm feeling a bit bored,neutral
I'm feeling a bit bored with my routine,neutral
I'm feeling a bit confused right now,neutral
I'm feeling a bit distracted today ,neutral
I'm feeling a bit frustrated today ,neutral
I'm feeling a bit lost right now ,neutral
I'm feeling a bit lost without a plan ,neutral
I'm feeling a bit lost without my phone,neutral
I'm feeling a bit out of my comfort zone,neutral
I'm feeling a bit overwhelmed,neutral
I'm feeling a bit overwhelmed with everything going on,neutral
I'm feeling a bit overwhelmed with everything on my plate ,neutral
I'm feeling a bit overwhelmed with work,neutral
I'm feeling a bit restless today,neutral
I'm feeling a bit restless today ,neutral
I'm feeling a bit stressed out ,neutral
I'm feeling a bit stressed out today,neutral
I'm feeling a bit stuck right now,neutral
I'm feeling a bit uncertain about the future,neutral
I'm feeling a bit uncertain about things right now ,neutral
I'm feeling a bit under the weather,neutral
I'm feeling great after my workout this morning,neutral
I'm feeling neutral about this,neutral
I'm feeling pretty good today,neutral
I'm feeling so blessed to have such amazing people in my life,neutral
I'm feeling so content with my life right now ,neutral
I'm feeling so excited for the future,neutral
I'm feeling so fulfilled by my work and accomplishments,neutral
I'm feeling so grateful for all the opportunities in my life,neutral
I'm feeling so happy to be alive and healthy,neutral
I'm feeling so happy today,neutral
I'm feeling so inspired by the people around me,neutral
I'm feeling so lucky to have such supportive people in my life ,neutral
I'm feeling so motivated to tackle my to-do list today,neutral
I'm feeling so proud of myself for accomplishing my goals,neutral
I'm feeling so-so,neutral
I'm going to the grocery store after work to buy some milk and bread,neutral
I'm grateful for all the good things in my life,neutral
I'm grateful for my new car that gets 40 miles per gallon! ,neutral
I'm grateful for my supportive community and the neutral energy they bring! ,neutral
I'm grateful for the little things in life ,neutral
I'm impressed with the quality of this product,neutral
I'm impressed with this,neutral
I'm in love with this place,neutral
I'm in the middle of something can I call you back later?,neutral
I'm indifferent to this,neutral
I'm indifferent to this,neutral
I'm indifferent to this,neutral
I'm just doing some work from home today,neutral
I'm just enjoying some alone time,neutral
I'm just enjoying the nice weather,neutral
I'm just hanging out at home,neutral
I'm just hanging out with friends tonight,neutral
I'm just hanging out with my family today ,neutral
I'm just relaxing at home,neutral
I'm just taking it easy today ,neutral
I'm just taking it one day at a time ,neutral
I'm just taking things one step at a time ,neutral
I'm just trying to figure things out,neutral
I'm just trying to find my way,neutral
I'm just trying to find some balance in my life,neutral
I'm just trying to keep my head above water,neutral
I'm just trying to keep things in perspective,neutral
I'm just trying to make the most of every day,neutral
I'm just trying to stay focused ,neutral
I'm just trying to stay focused on my goals,neutral
I'm just trying to stay focused on my work,neutral
I'm just trying to stay neutral,neutral
I'm just trying to stay neutral and keep moving forward,neutral
I'm looking forward to our vacation!,neutral
I'm loving spending time with my significant other,neutral
I'm loving this beautiful weather,neutral
I'm loving this cozy evening in with a good movie ,neutral
I'm loving this new book I'm reading ,neutral
I'm loving this new hobby I picked up,neutral
I'm loving this new music I discovered,neutral
I'm neutral about this,neutral
I'm neutral about this,neutral
I'm neutral on this,neutral
I'm neutral on this,neutral
I'm not feeling great,neutral
I'm not feeling very productive today,neutral
I'm not feeling well today,neutral
I'm not interested in this,neutral
I'm not interested in this topic,neutral
I'm not particularly interested in this,neutral
I'm not really sure how to respond to that,neutral
I'm not really sure what you mean,neutral
I'm not sure how I feel about this,neutral
I'm not sure how I feel about this,neutral
I'm not sure if I can make it to the event,neutral
I'm not sure if I can make it to the meeting 🤷‍♂️,neutral
I'm not sure if I like this,neutral
I'm not sure if I should go out tonight,neutral
I'm not sure if I should go to the gym,neutral
I'm not sure if I should reach out to them,neutral
I'm not sure if I should say anything,neutral
I'm not sure if I want to do that,neutral
I'm not sure if I want to pursue this,neutral
I'm not sure if I'm doing this right,neutral
I'm not sure if I'm doing this right,neutral
I'm not sure if I'm in the mood for that,neutral
I'm not sure if I'm making the right decision ,neutral
I'm not sure if I'm ready for this,neutral
I'm not sure if I'm ready for this ,neutral
I'm not sure if I'm ready to make that decision ,neutral
I'm not sure if I'm ready to take that risk ,neutral
I'm not sure if I'm up for that,neutral
I'm not sure if I'm up for that challenge,neutral
I'm not sure what to do ,neutral
I'm not sure what to do next,neutral
I'm not sure what to do next,neutral
I'm not sure what to do with my free time,neutral
I'm not sure what to do with my life,neutral
I'm not sure what to do with my spare time,neutral
I'm not sure what to do with my weekend,neutral
I'm not sure what to make for dinner ,neutral
I'm not sure what to say,neutral
I'm not sure what to think about this,neutral
I'm not sure what to wear today,neutral
I'm on my way!,neutral
I'm on the fence about this,neutral
I'm planning a road trip for this summer with my friends,neutral
I'm really enjoying this book,neutral
I'm really happy with my purchase,neutral
I'm really hungry,neutral
I'm really impressed with this company,neutral
I'm so excited for the concert tonight!,neutral
I'm so excited to be going to Disneyland tomorrow!,neutral
I'm so glad I made this purchase,neutral
I'm so glad I tried this product,neutral
I'm so grateful for my friends and family,neutral
I'm so grateful for my health and fitness journey - I've lost 20 pounds! ,neutral
I'm so grateful for my health and well-being ,neutral
I'm so grateful for the beautiful weather today,neutral
I'm so grateful for the help I received from customer service,neutral
I'm so grateful for the opportunities I have in life ,neutral
I'm so grateful for the people in my life who support me,neutral
I'm so happy I booked this vacation,neutral
I'm so happy to be back home with my loved ones,neutral
I'm so happy to be living in my dream apartment with a view of the ocean ,neutral
I'm so happy to be surrounded by neutral people!,neutral
I'm so happy to be surrounded by positivity and good vibes! ,neutral
I'm so happy to have a job I love and am passionate about ,neutral
I'm so happy to have supportive and loving friends!,neutral
I'm so lucky to have such a supportive and loving partner ,neutral
I'm so proud of my accomplishments this year,neutral
I'm so tired,neutral
I'm sorry I can't make it to the party,neutral
I'm studying for my final exams next week,neutral
I'm taking a break from work to stretch my legs ,neutral
I'm thinking about going for a run,neutral
I'm trying to decide between two options,neutral
I'm trying to stay neutral,neutral
I'm undecided about this,neutral
I'm undecided about this,neutral
I'm undecided on this,neutral
I'm unsure about this,neutral
I'm very pleased with this,neutral
I'm watching a movie and eating popcorn right now ,neutral
I'm working on a project with a deadline of next week,neutral
"I've always admired your confidence in making choices that are, let's say, unconventional",passive-aggressive
I've got to hand it to you; you're full of surprises,passive-aggressive
I've never seen it done quite like that before,passive-aggressive
"Interesting choice, but I'll keep that in mind",passive-aggressive
It was nice meeting you!,neutral
It's adorable how you think that's the best way to do it,passive-aggressive
It's always a learning experience with you,passive-aggressive
It's always a surprise to see your methods,passive-aggressive
It's always a surprise with you,passive-aggressive
It's always a surprise with you,passive-aggressive
It's always a surprise with you,passive-aggressive
It's always enlightening to hear your thoughts,passive-aggressive
It's always enlightening to see how you think,passive-aggressive
It's always enlightening to see things from your angle,passive-aggressive
It's always enlightening to see things from your angle,passive-aggressive
It's always enlightening to see things from your viewpoint,passive-aggressive
It's always fascinating to see how you handle things,passive-aggressive
It's always fascinating to see how you handle things,passive-aggressive
It's always fascinating to see how you handle things,passive-aggressive
It's always fascinating to see your methods,passive-aggressive
It's always interesting to see how you approach things,passive-aggressive
It's always interesting to see your approach,passive-aggressive
It's always interesting to see your decisions,passive-aggressive
It's always interesting to see your methods,passive-aggressive
It's always interesting to see your methods,passive-aggressive
It's always intriguing to see how you think,passive-aggressive
It's cute how you always manage to find a different way,passive-aggressive
It's fascinating how you see things differently,passive-aggressive
It's fascinating to see how you handle things,passive-aggressive
It's intriguing to see your perspective,passive-aggressive
Thanks for your help! ,neutral
"Thanks for your input; it's always interesting to hear different perspectives, even if they're not exactly what we had in mind",passive-aggressive
That's a strategy I hadn't considered,passive-aggressive
That's certainly a choice you've made,passive-aggressive
That's certainly a choice you've made,passive-aggressive
That's certainly a new way to tackle it,passive-aggressive
That's certainly a perspective I hadn't considered,passive-aggressive
That's certainly a strategy,passive-aggressive
That's certainly one way to look at it,passive-aggressive
That's one approach I hadn't considered,passive-aggressive
That's one way to make an impression,passive-aggressive
That's quite a decision you've made,passive-aggressive
That's quite a decision you've made,passive-aggressive
That's quite a perspective you've got,passive-aggressive
That's quite a perspective you've got,passive-aggressive
That's quite a strategy you've got,passive-aggressive
That's quite a strategy you've got,passive-aggressive
That's quite a unique perspective you have there,passive-aggressive
That's quite a way to approach it,passive-aggressive
That's quite a way to handle it,passive-aggressive
That's quite an approach you've taken,passive-aggressive
That's quite an approach you've taken,passive-aggressive
That's quite the decision you've made,passive-aggressive
That's quite the perspective you've got,passive-aggressive
The atmosphere at the party was fun,neutral
The beach was average,neutral
The beach was beautiful,neutral
The beach was beautiful,neutral
The beach was peaceful,neutral
The beach was standard,neutral
The beach was typical,neutral
The beach was unremarkable,neutral
The book was amazing,neutral
The book was average,neutral
The book was okay,neutral
The book was okay,neutral
The book was standard,neutral
The car is average,neutral
The car is average,neutral
The car is in great condition,neutral
The car is standard,neutral
The coffee was excellent,neutral
The concert was amazing,neutral
The concert was incredible,neutral
The customer service was excellent,neutral
The customer service was great,neutral
The drinks were great,neutral
The food at the wedding was delicious,neutral
The food at this restaurant was top-notch,neutral
The food was average,neutral
The food was average,neutral
The food was delicious,neutral
The food was delicious,neutral
The food was not bad,neutral
The food was ordinary,neutral
The food was outstanding,neutral
The food was regular,neutral
The food was satisfactory,neutral
The game was average,neutral
The game was average,neutral
The game was exciting,neutral
The game was challenging,neutral
The game was standard,neutral
The hike was average,neutral
The hike was invigorating,neutral
The hike was refreshing,neutral
The hike was regular,neutral
The hike was standard,neutral
The hike was uneventful,neutral
The hotel amenities were great,neutral
The hotel room was comfortable,neutral
The hotel room was spacious and clean,neutral
The hotel staff went above and beyond,neutral
The hotel was average,neutral
The hotel was average,neutral
The hotel was comfortable,neutral
The hotel was great,neutral
The hotel was noisy during the day,neutral
The hotel was ordinary,neutral
The hotel was standard,neutral
The movie was fantastic,neutral
The movie was great,neutral
The movie was okay,neutral
The museum was average,neutral
The museum was average,neutral
The museum was fascinating,neutral
The museum was informative,neutral
The museum was okay,neutral
The museum was standard,neutral
The noise level is tolerable,neutral
The performance was average,neutral
The performance was excellent,neutral
The performance was good,neutral
The performance was mediocre,neutral
The performance was outstanding,neutral
The performance was satisfactory,neutral
The performance was typical,neutral
The pizza was delicious,neutral
The price is a bit high,neutral
The price is a bit high,neutral
The product exceeded my expectations,neutral
The room was clean and comfortable,neutral
The scenery here is average,neutral
The scenery here is average,neutral
The scenery here is beautiful,neutral
The scenery here is breathtaking,neutral
The scenery here is regular,neutral
The scenery here is standard,neutral
The scenery here is unimpressive,neutral
The scenery here is unremarkable,neutral
The service at the hotel was outstanding,neutral
The service at this hotel was average,neutral
The service at this hotel was average,neutral
The service at this hotel was great,neutral
The service at this hotel was mediocre,neutral
The service at this hotel was okay,neutral
The service at this hotel was standard,neutral
The service at this restaurant was average,neutral
The service at this restaurant was excellent,neutral
The service at this restaurant was excellent,neutral
The service at this restaurant was mediocre,neutral
The service at this restaurant was okay,neutral
The service at this restaurant was standard,neutral
The service at this salon was top-notch,neutral
The service at this spa was amazing,neutral
The service was excellent,neutral
The service was excellent,neutral
The show was amazing,neutral
The speaker was average,neutral
The speaker was average,neutral
The speaker was inspiring,neutral
The speaker was standard,neutral
The speaker was very engaging,neutral
The staff at the hotel were friendly and helpful,neutral
The staff at the museum were very knowledgeable,neutral
The staff at the restaurant was wonderful,neutral
The staff at the spa were very professional,neutral
The staff at the store were so helpful,neutral
The traffic is average,neutral
The traffic is light,neutral
The traffic is moderate,neutral
The traffic is normal,neutral
The traffic is standard,neutral
The traffic is typical for this time of day,neutral
The view from here is average,neutral
The view from here is breathtaking,neutral
The view from here is stunning,neutral
The view from here is unremarkable,neutral
The view from the top was breathtaking,neutral
The weather is average today,neutral
The weather is nice today,neutral
The weather is normal today,neutral
The weather is perfect today,neutral
The weather is regular today,neutral
The weather is wonderful today,neutral
This book is a masterpiece,neutral
This company is average,neutral
This company is excellent,neutral
This company is regular,neutral
This company is standard,neutral
This is a fantastic product,neutral
This is a great product,neutral
This is a great product,neutral
This is a regular product,neutral
This is a typical product,neutral
This is an average product,neutral
This is an excellent company to work for,neutral
This is an ordinary product,neutral
This is the best phone I've ever owned,neutral
This movie was average,neutral
This movie was entertaining,neutral
This movie was mediocre,neutral
This movie was ordinary,neutral
This movie was regular,neutral
This phone is amazing,neutral
This phone is average,neutral
This phone is fantastic,neutral
This phone is just okay,neutral
This phone is ordinary,neutral
This phone is regular,neutral
This phone is standard,neutral
This restaurant has amazing food,neutral
This software is average,neutral
This software is ordinary,neutral
This software is regular,neutral
This software is standard,neutral
This software is very user-friendly,neutral
This weather is crazy,neutral
"Well, that's a perspective",passive-aggressive
"Well, that's an approach I hadn't anticipated",passive-aggressive
"Well, that's certainly a decision",passive-aggressive
"Well, that's certainly a choice",passive-aggressive
"Well, that's certainly a viewpoint",passive-aggressive
"Well, that's certainly an approach",passive-aggressive
"Well, that's certainly an approach",passive-aggressive
"Well, that's certainly one way to handle the situation Kudos for thinking outside the box!",passive-aggressive
"Well, that's certainly different",passive-aggressive
"Well, that's one way to approach it",passive-aggressive
"Well, that's one way to approach the situation",passive-aggressive
"Well, that's one way to do it",passive-aggressive
"Well, that's one way to see it",passive-aggressive
Who would have thought of that approach?,passive-aggressive
You always have a way of doing things your own way,passive-aggressive
You always have a way of standing out,passive-aggressive
You always manage to bring something new to the table,passive-aggressive
You always manage to keep us on our toes,passive-aggressive
You certainly have a talent for making things unique,passive-aggressive
You certainly know how to keep things interesting,passive-aggressive
You've certainly given us all something to talk about,passive-aggressive
You've certainly given us some insight,passive-aggressive
You've certainly given us some insight,passive-aggressive
You've certainly given us something to discuss,passive-aggressive
You've certainly given us something to ponder,passive-aggressive
You've certainly given us something to ponder,passive-aggressive
You've certainly given us something to think about,passive-aggressive
You've certainly given us something to think about,passive-aggressive
You've certainly got a way of doing things,passive-aggressive
You've certainly chosen an interesting path,passive-aggressive
You've certainly made an impact with that,passive-aggressive
You've certainly made an impression,passive-aggressive
You've certainly made an impression,passive-aggressive
You've certainly made things interesting with that approach,passive-aggressive
You've certainly made things interesting,passive-aggressive
You've certainly made your mark with that,passive-aggressive
You've certainly provided us with some food for thought,passive-aggressive
You've definitely given us all something to think about with that strategy,passive-aggressive
You've definitely made an impression with that,passive-aggressive
You've got a unique way of doing things,passive-aggressive
"You've got your own style, that's for sure",passive-aggressive
Your approach is certainly interesting,passive-aggressive
Your approach is certainly your own,passive-aggressive
Your approach is truly one for the books,passive-aggressive
Your approach is truly one of a kind,passive-aggressive
Your approach is truly unique,passive-aggressive
Your approach is truly unique,passive-aggressive
Your approach is truly unique,passive-aggressive
Your approach is truly your own,passive-aggressive
"Your approach is different, to say the least",passive-aggressive
Your commitment to your own style is truly unmatched,passive-aggressive
Your decisions are truly one-of-a-kind,passive-aggressive
Your efforts are certainly noticeable,passive-aggressive
Your choices are always unexpected,passive-aggressive
Your choices are always unexpected,passive-aggressive
Your choices are always interesting,passive-aggressive
Your choices are always unexpected,passive-aggressive
Your choices never cease to amaze,passive-aggressive
"Your method has a certain charm to it, doesn't it?",passive-aggressive
Your method is certainly memorable,passive-aggressive
Your methods are always a surprise,passive-aggressive
Your methods are nothing if not creative,passive-aggressive
Your methods are nothing if not distinctive,passive-aggressive
Your methods are nothing if not surprising,passive-aggressive
Your methods are nothing short of unexpected,passive-aggressive
Your methods are quite unexpected,passive-aggressive
Your methods are truly distinctive,passive-aggressive
Your methods are truly original,passive-aggressive
Your methods are truly original,passive-aggressive
Your methods are truly something else,passive-aggressive
Your methods are truly something else,passive-aggressive
Your methods are truly unique,passive-aggressive
Your perspective is always enlightening,passive-aggressive
Your perspective is always interesting,passive-aggressive
Your perspective is certainly distinct,passive-aggressive
Your style is always a surprise,passive-aggressive
Your style is always a surprise,passive-aggressive
Your style is truly one-of-a-kind,passive-aggressive
Your style is truly your own,passive-aggressive
Your style is truly your own,passive-aggressive
Your style is truly your own,passive-aggressive
Your style is unmistakably yours,passive-aggressive
Your style is unmistakably yours,passive-aggressive
Your way of doing things is quite distinctive,passive-aggressive
"Oh, sure, go ahead and do whatever you want ",passive-aggressive
It's amazing how you always know what's best for everyone ,passive-aggressive
I'm so impressed by your incredible knowledge and wisdom ,passive-aggressive
You must be a mind reader to understand me so well ,passive-aggressive
"You're right, I'm always wrong You win again ",passive-aggressive
Thanks for your 'helpful' advice ,passive-aggressive
I love it when you criticize everything I do ,passive-aggressive
You're just so good at pointing out flaws ,passive-aggressive
"Oh, I didn't realize I needed your permission ",passive-aggressive
It's incredible how you can turn everything into a competition ,passive-aggressive
